CarID,Manufacturer,Model,Engine size,Fuel_Type,Year_of_Manufacturing,Mileage,Price,DealerID
C46735,VW,Golf,1.2,Petrol,2016,32228,20035,39
C11733,VW,Polo,1.4,Petrol,2018,30622,21030,40
C18620,VW,Polo,2.0,Petrol,2017,28811,23761,35
C48493,BMW,M5,5.0,Petrol,2014,47726,77284,20
C26804,Ford,Mondeo,1.6,Petrol,1993,101956,3716,41
C44306,VW,Golf,1.6,Petrol,1992,97933,3035,6
C47523,VW,Passat,1.4,Diesel,2008,90039,11427,26
C32208,Toyota,Yaris,1.4,Hybrid,1995,153954,2559,3
C02531,Ford,Fiesta,1.2,Petrol,2001,169486,2234,8
C17747,VW,Golf,1.6,Diesel,1984,132809,1434,33
C08271,VW,Golf,2.0,Petrol,1991,186523,1559,14
C15080,BMW,Z4,3.0,Petrol,2007,72391,17754,25
C13625,Toyota,Prius,1.4,Hybrid,1989,235879,1090,27
C30639,Toyota,Yaris,1.2,Petrol,2012,64730,11931,32
C30441,Toyota,Prius,1.4,Hybrid,1997,131620,4551,23
C36057,VW,Passat,1.8,Diesel,1995,184914,2562,31
C42652,Toyota,RAV4,2.2,Hybrid,2013,76610,29243,39
C36804,VW,Passat,2.0,Petrol,2015,31043,30364,18
C48225,Toyota,Prius,1.4,Hybrid,1996,99271,5444,13
C29227,BMW,Z4,2.0,Petrol,2000,129137,6002,42
C05634,Ford,Fiesta,1.2,Petrol,2017,15811,19276,17
C05988,Toyota,Prius,1.4,Hybrid,2021,7229,51382,6
C48064,Ford,Mondeo,1.6,Diesel,2018,29353,33290,40
C01813,Toyota,RAV4,2.0,Hybrid,2018,46665,47262,12
C27579,Toyota,Prius,1.8,Hybrid,1994,230780,1808,18
C16824,Ford,Fiesta,1.0,Petrol,2000,123811,2764,6
C03929,Toyota,Yaris,1.4,Petrol,2002,91399,5511,9
C37287,Toyota,Prius,1.4,Hybrid,1990,244406,1078,24
C25046,Ford,Mondeo,1.4,Diesel,2013,47829,19989,43
C15728,Ford,Mondeo,1.8,Diesel,1996,85687,5682,44
C29601,BMW,X3,2.0,Diesel,1990,212400,1682,35
C10431,Ford,Fiesta,1.4,Petrol,1988,92266,1860,45
C25769,Ford,Fiesta,1.4,Petrol,2017,30751,19155,46
C29104,Toyota,Yaris,1.4,Hybrid,2005,169013,4396,30
C36538,VW,Golf,1.2,Petrol,2018,13452,25416,22
C39329,VW,Golf,1.4,Petrol,2016,45075,20047,35
C35540,VW,Golf,1.8,Diesel,2007,122490,7642,41
C28076,Ford,Fiesta,1.2,Petrol,2015,68890,12244,10
C17841,Toyota,Yaris,1.2,Petrol,2011,93557,9154,47
C27803,BMW,M5,4.4,Petrol,1997,209267,6694,33
C07683,VW,Golf,1.4,Petrol,1999,114939,3990,46
C24280,Ford,Mondeo,1.6,Diesel,2020,6881,42995,33
C33071,Toyota,RAV4,1.8,Hybrid,2002,99708,10790,8
C35558,Ford,Focus,1.6,Hybrid,1992,137762,3198,5
C37190,BMW,X3,2.0,Diesel,1994,143418,3959,31
C47150,BMW,Z4,2.2,Petrol,2014,40717,29670,37
C46916,VW,Polo,2.0,Petrol,1995,128433,2773,33
C09802,VW,Passat,2.0,Diesel,2008,114738,11389,18
C38801,Ford,Mondeo,1.4,Diesel,2019,32123,32759,6
C24670,Ford,Mondeo,1.6,Diesel,2012,93662,14710,29
C44234,VW,Polo,1.4,Petrol,1994,225404,951,39
C31920,VW,Golf,1.2,Diesel,1994,172758,1743,37
C07135,BMW,Z4,2.4,Petrol,1998,55213,9751,23
C33705,Ford,Fiesta,1.0,Petrol,2006,43125,7227,31
C29661,Porsche,Cayenne,2.6,Petrol,2011,106875,24190,25
C17894,Ford,Fiesta,1.4,Diesel,2013,31415,15346,37
C22019,Toyota,RAV4,2.2,Hybrid,2012,68319,28928,9
C13539,Toyota,RAV4,2.2,Hybrid,2001,105667,10681,15
C43119,Toyota,RAV4,1.8,Petrol,2002,129607,7167,8
C36421,Ford,Mondeo,1.4,Diesel,2008,97983,10215,21
C09406,VW,Golf,1.8,Petrol,1999,157206,3233,46
C13414,BMW,X3,2.4,Diesel,2000,125944,7433,19
C06721,Ford,Fiesta,1.0,Petrol,1999,148127,2131,36
C15602,Ford,Focus,1.6,Petrol,1999,160246,3538,43
C44744,VW,Passat,1.4,Diesel,1987,275816,581,23
C31139,VW,Golf,1.8,Petrol,1996,183463,2119,16
C02730,Toyota,Prius,1.4,Hybrid,2017,25793,35593,7
C38243,Ford,Fiesta,1.2,Petrol,2017,53467,15462,22
C29626,VW,Polo,1.6,Diesel,2009,64083,10542,40
C47895,VW,Passat,2.0,Diesel,1998,112238,5959,19
C42091,Porsche,911,3.0,Petrol,2020,11852,129795,32
C36400,Ford,Focus,1.8,Diesel,1987,217598,1076,33
C06245,VW,Passat,1.4,Petrol,2017,20443,30816,41
C05546,Ford,Focus,1.8,Diesel,2005,80643,10823,33
C04065,VW,Passat,1.8,Petrol,2010,73959,15765,46
C12852,VW,Polo,1.2,Petrol,1996,173917,1582,41
C21803,Toyota,Yaris,1.0,Hybrid,1996,178921,1874,9
C41164,VW,Polo,1.4,Diesel,2001,202260,1959,36
C06233,Toyota,Yaris,1.0,Hybrid,2017,18602,24082,21
C03863,VW,Polo,2.0,Petrol,2018,30228,25193,18
C35095,Toyota,RAV4,2.2,Petrol,2007,130722,10962,38
C40196,Ford,Fiesta,1.0,Petrol,1986,81971,1479,7
C39251,VW,Passat,1.6,Diesel,2008,121191,9696,30
C06218,VW,Passat,2.0,Diesel,2014,58023,25305,48
C36776,Ford,Mondeo,1.8,Hybrid,1991,161237,2596,21
C42977,VW,Passat,2.0,Petrol,2005,142054,7171,9
C48468,BMW,M5,4.0,Petrol,2016,37881,83835,44
C14832,Toyota,Yaris,1.0,Petrol,2014,72966,11781,10
C30093,Ford,Fiesta,1.2,Petrol,2007,73777,6951,37
C08894,VW,Golf,1.4,Petrol,2010,144461,6589,13
C06021,BMW,X3,3.0,Diesel,1989,175325,2665,38
C46089,Ford,Mondeo,2.0,Diesel,2017,36239,33452,35
C15243,Ford,Fiesta,1.4,Petrol,2022,4158,30891,36
C45308,Ford,Mondeo,2.0,Diesel,1994,236713,1507,26
C26551,Ford,Fiesta,1.2,Petrol,2017,34134,17390,38
C06035,Ford,Mondeo,2.0,Diesel,2008,51775,16703,41
C07906,Toyota,Prius,1.8,Hybrid,2004,98202,10605,3
C32226,Ford,Mondeo,2.0,Diesel,1994,189351,2301,40
C06018,Toyota,Prius,1.4,Hybrid,1998,127333,5031,34
C21880,VW,Passat,1.6,Diesel,1996,126177,4191,42
C02792,VW,Golf,1.2,Petrol,2017,12095,23949,23
C42606,VW,Golf,2.0,Diesel,2015,60812,21317,21
C05824,Ford,Mondeo,1.8,Diesel,2016,52416,26904,31
C15388,Ford,Fiesta,1.4,Petrol,2022,7038,30437,25
C29562,Ford,Mondeo,1.6,Diesel,2011,58571,17478,47
C39476,Toyota,Yaris,1.2,Hybrid,2013,74213,14367,28
C00293,Ford,Focus,1.0,Petrol,2018,19640,26712,9
C16958,Toyota,Prius,1.8,Hybrid,2018,33831,41196,46
C30861,Ford,Focus,1.4,Petrol,1996,142734,3128,36
C14074,BMW,M5,5.0,Petrol,2004,79991,32129,17
C21857,VW,Passat,1.8,Diesel,2018,49672,33040,41
C22080,VW,Golf,1.4,Petrol,1992,196819,1274,35
C17024,Toyota,Yaris,1.4,Petrol,2003,182211,2865,2
C08740,Toyota,RAV4,2.2,Hybrid,2008,141946,12859,38
C15826,Toyota,Yaris,1.0,Hybrid,2014,69442,14476,49
C02742,Ford,Fiesta,1.4,Petrol,2008,74758,7972,41
C18049,Toyota,Prius,1.0,Hybrid,2013,101842,14026,46
C49937,Ford,Fiesta,1.2,Petrol,2013,35476,13215,48
C17373,Ford,Fiesta,1.2,Petrol,1994,124978,2011,50
C22022,Ford,Mondeo,1.4,Diesel,1999,96637,5661,24
C46365,Toyota,Yaris,1.4,Hybrid,2017,38503,25435,29
C23538,VW,Golf,1.8,Diesel,2021,9759,40708,6
C45500,VW,Polo,2.0,Petrol,1992,67940,3523,13
C40186,Toyota,RAV4,1.8,Hybrid,1993,198469,2654,7
C09614,Ford,Focus,1.0,Petrol,1995,187606,1697,3
C43282,Toyota,Yaris,1.4,Hybrid,1996,167567,2442,22
C37892,Toyota,RAV4,1.8,Hybrid,1993,188413,2898,2
C26179,BMW,M5,5.0,Petrol,2016,47004,88701,45
C45893,Toyota,Prius,1.0,Hybrid,2006,117306,7833,5
C20934,Ford,Mondeo,1.4,Diesel,2009,80253,12382,19
C40972,Toyota,Yaris,1.2,Hybrid,2003,124007,5132,10
C22225,Toyota,Yaris,1.0,Petrol,2012,50525,11929,19
C24382,Toyota,Prius,1.0,Hybrid,2001,93091,6715,45
C34856,BMW,Z4,2.4,Petrol,1984,208219,1163,15
C48578,BMW,X3,2.4,Diesel,2011,73275,22722,17
C38537,Ford,Focus,2.0,Petrol,2014,82905,19491,39
C31756,VW,Polo,1.2,Petrol,2002,83147,4793,24
C07754,Porsche,911,3.5,Petrol,2001,167358,13263,42
C46639,BMW,X3,2.4,Petrol,1995,119816,5318,14
C43835,VW,Passat,1.4,Diesel,1994,81909,4757,2
C26236,Ford,Fiesta,1.2,Petrol,2014,63762,11849,4
C44230,BMW,X3,2.0,Diesel,2019,18694,49389,34
C49597,Ford,Fiesta,1.2,Petrol,1999,144318,2408,43
C18553,BMW,M5,4.0,Petrol,2006,88042,31040,20
C43137,Ford,Fiesta,1.2,Petrol,2018,28266,19229,38
C36673,Toyota,Prius,1.0,Hybrid,1985,82024,2499,44
C43650,Toyota,Prius,1.0,Hybrid,1995,272193,982,7
C03941,Toyota,Yaris,1.2,Petrol,2019,14052,25745,44
C31497,Ford,Focus,1.0,Hybrid,1988,340977,307,42
C26594,Ford,Fiesta,1.4,Petrol,2004,147486,3538,7
C23922,Porsche,Cayenne,2.6,Diesel,1998,113118,10188,2
C26403,VW,Golf,2.0,Hybrid,2003,53093,11500,16
C45943,VW,Passat,1.4,Diesel,2017,42857,28423,36
C48526,Toyota,Yaris,1.4,Petrol,2003,75862,6565,41
C18316,Ford,Fiesta,1.4,Petrol,2015,27169,17111,26
C36894,Ford,Focus,1.8,Hybrid,2016,60397,29491,29
C26696,VW,Golf,2.0,Hybrid,2010,58982,17664,31
C42128,Toyota,RAV4,2.4,Hybrid,2006,113876,14640,23
C14171,Toyota,Prius,1.0,Hybrid,1991,79785,3786,17
C03733,Toyota,RAV4,2.0,Hybrid,1997,108555,7634,3
C07882,Toyota,Prius,1.4,Hybrid,2002,167049,4757,18
C06017,VW,Polo,1.4,Petrol,1999,229441,1279,36
C23030,BMW,M5,5.0,Petrol,2017,30432,104651,10
C35474,Ford,Focus,2.0,Petrol,2004,123689,7409,21
C49686,Ford,Fiesta,1.0,Petrol,1999,132230,2421,22
C04818,BMW,M5,5.0,Petrol,1985,293380,1474,27
C41694,VW,Passat,2.0,Diesel,2011,95665,16022,41
C12008,Toyota,Prius,1.4,Hybrid,1996,173346,3023,17
C41328,Toyota,Prius,1.8,Hybrid,2006,121064,10210,45
C09507,BMW,X3,2.0,Diesel,2009,76295,17785,45
C44799,VW,Golf,1.4,Petrol,2015,50734,18110,22
C34063,Ford,Focus,2.0,Petrol,2019,22929,39653,2
C27475,VW,Polo,1.0,Diesel,2014,42892,13294,18
C31144,Ford,Focus,2.0,Diesel,2015,56991,26010,41
C21236,Toyota,Prius,1.4,Hybrid,2010,43037,20178,31
C01391,Porsche,911,2.6,Petrol,2005,100825,25261,10
C38250,Toyota,Yaris,1.0,Hybrid,2018,36759,23217,7
C37625,Ford,Mondeo,1.4,Diesel,2011,93722,12867,1
C42029,Ford,Fiesta,1.2,Petrol,2002,117575,3631,46
C20835,Toyota,Yaris,1.4,Hybrid,1998,88054,5187,39
C14758,VW,Passat,2.0,Diesel,1990,181130,1999,3
C26397,Toyota,Prius,1.8,Hybrid,2019,18569,48003,22
C06809,VW,Polo,1.0,Petrol,2008,67376,7266,27
C09226,Ford,Fiesta,1.0,Diesel,2007,111454,5088,26
C48395,Ford,Focus,2.0,Petrol,2008,81644,13180,27
C05396,Toyota,Yaris,1.2,Petrol,1996,82111,3651,47
C06944,Toyota,Prius,1.4,Hybrid,1991,405205,246,41
C23871,VW,Golf,2.0,Petrol,2003,119664,6006,37
C32493,Porsche,Cayenne,2.6,Petrol,1989,210610,2368,27
C36346,VW,Golf,1.4,Diesel,2007,104226,7738,27
C10756,Toyota,RAV4,2.0,Hybrid,2019,26249,56988,5
C12302,VW,Golf,1.6,Petrol,2013,34061,18740,2
C48387,VW,Passat,1.4,Diesel,1998,121364,4650,31
C42746,Ford,Focus,1.6,Petrol,2012,90101,14503,35
C29090,Ford,Focus,1.0,Petrol,1998,186024,2102,34
C44713,VW,Passat,1.6,Diesel,2006,121402,8472,30
C14344,Ford,Focus,2.0,Petrol,2012,72485,18320,31
C38173,VW,Passat,1.6,Petrol,2001,49679,9551,22
C05072,VW,Passat,2.0,Diesel,2001,181796,4139,38
C24122,Toyota,Yaris,1.2,Hybrid,2007,136695,6064,24
C48810,Ford,Fiesta,1.0,Hybrid,2006,111468,5439,42
C17821,Toyota,RAV4,1.8,Hybrid,1989,236721,1442,1
C01123,VW,Passat,2.0,Diesel,2001,129028,6396,35
C11265,Toyota,Prius,1.0,Hybrid,1998,182217,2706,47
C30580,Ford,Fiesta,1.0,Petrol,1999,140064,2275,31
C45465,Porsche,718 Cayman,2.0,Petrol,2012,48681,28520,9
C48217,Porsche,Cayenne,3.5,Petrol,1994,247985,2731,48
C43045,Toyota,Yaris,1.0,Petrol,2022,7037,29785,19
C15657,Toyota,Yaris,1.0,Petrol,2003,75361,5567,19
C01901,Toyota,Yaris,1.0,Petrol,1995,145212,1935,45
C00148,VW,Passat,1.4,Diesel,2008,112309,9705,26
C29643,VW,Polo,1.0,Petrol,1992,249354,565,23
C03212,Ford,Fiesta,1.0,Petrol,2017,43992,14968,41
C43851,Ford,Mondeo,1.4,Diesel,2001,156725,4051,14
C02355,Toyota,RAV4,2.4,Hybrid,1986,146972,2975,10
C31521,Ford,Mondeo,1.4,Petrol,1989,76337,3193,48
C42584,Toyota,Prius,1.0,Hybrid,2013,63336,18329,41
C43338,Toyota,Yaris,1.4,Petrol,2005,104248,6131,8
C45285,VW,Passat,1.4,Diesel,1994,83413,4708,2
C46957,Toyota,RAV4,2.4,Hybrid,1995,237178,2474,22
C48791,VW,Golf,2.0,Petrol,1994,170227,2189,15
C36586,Toyota,Prius,1.0,Hybrid,2007,163118,5799,27
C10466,Toyota,Yaris,1.2,Petrol,1999,172419,2208,37
C07822,VW,Polo,1.4,Petrol,1993,188246,1237,4
C07206,VW,Golf,1.6,Petrol,1990,139489,1932,22
C06414,Toyota,RAV4,2.2,Petrol,2016,41439,37319,7
C34047,Ford,Focus,1.6,Diesel,2020,26669,38980,5
C12729,Toyota,RAV4,2.2,Petrol,2018,38748,43334,29
C06926,VW,Golf,2.0,Diesel,2004,99523,7839,48
C27996,Toyota,RAV4,2.2,Hybrid,2004,64034,17457,9
C37613,BMW,X3,3.0,Diesel,2007,118475,14039,4
C39484,Ford,Mondeo,1.8,Diesel,2015,38531,27400,4
C03017,Ford,Focus,1.4,Petrol,2021,15358,39513,9
C01641,Toyota,Yaris,1.0,Hybrid,2012,54872,13928,31
C08884,VW,Golf,2.0,Hybrid,2014,64126,22304,44
C37602,VW,Passat,1.8,Diesel,2005,133363,7656,47
C12970,VW,Polo,2.0,Diesel,1997,80407,4745,46
C23464,Toyota,RAV4,2.4,Hybrid,1996,146983,5794,17
C15758,Ford,Focus,2.0,Petrol,2002,30815,12208,27
C44077,Ford,Mondeo,1.6,Diesel,1991,265377,847,30
C04087,BMW,Z4,2.4,Petrol,2000,154408,5365,40
C00509,VW,Golf,1.6,Hybrid,2003,110332,6919,42
C06355,Ford,Mondeo,1.6,Hybrid,1999,206665,2820,46
C29645,Ford,Fiesta,1.2,Hybrid,2022,7734,33693,34
C20816,VW,Passat,1.4,Diesel,2019,18396,37390,14
C06235,VW,Passat,2.0,Petrol,2014,55925,24425,6
C31990,Toyota,RAV4,1.8,Hybrid,1993,284074,1212,5
C12996,Toyota,RAV4,2.0,Hybrid,2012,94859,22947,45
C42502,BMW,Z4,2.0,Petrol,1994,188217,2465,20
C38921,Toyota,RAV4,2.0,Hybrid,2001,118776,9225,44
C00263,Ford,Mondeo,1.4,Diesel,1998,155019,3364,28
C07892,Porsche,718 Cayman,2.0,Petrol,2018,32070,47003,5
C10528,Toyota,RAV4,2.0,Petrol,2010,115505,14362,48
C18601,Ford,Fiesta,1.0,Petrol,1988,165055,890,5
C24115,Porsche,Cayenne,2.6,Petrol,1989,135971,4459,11
C33499,Toyota,Prius,1.0,Hybrid,2006,113495,8063,18
C13472,VW,Golf,1.4,Hybrid,2014,62790,18825,1
C31726,Toyota,Prius,1.0,Hybrid,1996,189148,2230,43
C23691,Ford,Fiesta,1.2,Petrol,1986,365876,133,2
C10558,Toyota,Yaris,1.2,Petrol,1992,162560,1505,19
C06557,BMW,M5,5.0,Petrol,2004,108523,26167,27
C45578,VW,Golf,1.6,Petrol,2003,162124,3820,35
C41504,Ford,Fiesta,1.0,Petrol,1995,129462,1895,34
C27873,Toyota,Prius,1.8,Hybrid,2003,93555,10260,3
C10811,VW,Golf,1.6,Petrol,2013,63371,15629,5
C38215,BMW,Z4,2.4,Petrol,1989,232180,1308,17
C11731,BMW,M5,4.4,Petrol,2000,179719,10587,49
C27439,VW,Polo,1.0,Petrol,2020,12687,22430,32
C21780,Ford,Fiesta,1.0,Petrol,1990,147840,1172,37
C34080,Toyota,Yaris,1.4,Petrol,1990,156444,1497,49
C22916,Toyota,Yaris,1.2,Hybrid,2018,28435,26693,49
C08086,Toyota,RAV4,2.4,Hybrid,1989,140141,3839,2
C43468,Ford,Focus,1.4,Diesel,1990,213005,1208,30
C14710,VW,Golf,2.0,Petrol,2010,68124,13866,6
C15467,Ford,Focus,1.0,Petrol,1988,162364,1320,24
C37173,Ford,Mondeo,1.8,Diesel,2003,171640,4632,20
C28749,Toyota,Yaris,1.0,Petrol,2000,129692,3057,11
C03105,VW,Golf,1.8,Diesel,1996,149828,2953,34
C00709,Toyota,Yaris,1.2,Petrol,2008,97903,7263,2
C38386,BMW,Z4,2.2,Petrol,1996,174875,3314,23
C23445,Toyota,Prius,1.8,Hybrid,2018,10981,46774,21
C26511,VW,Passat,1.8,Diesel,1985,210711,1049,47
C08467,BMW,X3,3.0,Petrol,1986,265848,921,44
C06231,Ford,Fiesta,1.2,Petrol,2001,109746,3604,13
C46359,Toyota,RAV4,2.2,Hybrid,1997,245914,2498,15
C39358,VW,Polo,1.6,Petrol,1996,161401,2030,20
C16387,BMW,X3,2.0,Diesel,1995,132552,4616,14
C34166,Ford,Mondeo,2.0,Diesel,2018,50072,32882,30
C04169,VW,Polo,1.2,Petrol,1989,267147,429,41
C05804,Toyota,Yaris,1.4,Petrol,1992,183644,1359,5
C12754,Ford,Mondeo,1.4,Diesel,2004,121533,6558,28
C02190,VW,Polo,1.6,Petrol,2013,42338,15033,43
C12188,BMW,Z4,2.2,Petrol,1995,135562,4288,15
C31728,VW,Passat,2.0,Diesel,1999,86553,7682,21
C19246,BMW,Z4,2.2,Petrol,1994,119436,4550,17
C37867,Toyota,RAV4,2.0,Petrol,2004,107377,10234,43
C43515,Toyota,Yaris,1.4,Hybrid,2015,34694,22766,32
C08719,VW,Golf,1.4,Petrol,1992,184102,1424,28
C28825,Ford,Focus,1.6,Diesel,1996,155069,3175,30
C24469,Ford,Focus,1.4,Hybrid,2007,63479,13991,30
C48253,VW,Golf,1.4,Diesel,2000,168131,2920,30
C07202,Toyota,RAV4,2.4,Hybrid,1997,176599,4837,6
C09283,Toyota,RAV4,2.0,Hybrid,1995,165811,4234,41
C26821,VW,Golf,1.6,Petrol,1995,122551,3082,46
C27374,BMW,Z4,2.2,Petrol,2002,257621,2358,10
C22493,Ford,Focus,1.8,Diesel,2007,71840,13132,27
C45638,Ford,Fiesta,1.4,Petrol,1994,190355,1265,36
C45880,Ford,Fiesta,1.0,Petrol,2002,159285,2375,4
C29340,BMW,M5,5.0,Petrol,2004,77111,32771,37
C46548,VW,Polo,1.2,Petrol,2022,7792,28808,28
C10804,Toyota,RAV4,2.2,Hybrid,1992,201122,2682,13
C20965,Ford,Mondeo,1.4,Diesel,2018,17254,33314,20
C30033,Ford,Focus,2.0,Diesel,2017,42994,32425,6
C05223,Toyota,RAV4,2.2,Hybrid,2014,74986,31606,17
C00660,Toyota,Yaris,1.4,Petrol,1986,183150,914,34
C33246,BMW,Z4,3.0,Petrol,2013,56260,29440,44
C05866,Toyota,Yaris,1.4,Hybrid,1993,235742,1096,11
C48872,VW,Polo,2.0,Petrol,1989,264888,566,31
C22986,Ford,Focus,2.0,Petrol,2002,157182,4956,17
C28881,Toyota,Prius,1.8,Hybrid,2003,173674,5451,42
C47088,Toyota,Yaris,1.2,Hybrid,2014,58646,17019,50
C26528,VW,Passat,2.0,Petrol,2014,53958,24731,21
C09648,BMW,M5,4.4,Petrol,2020,13861,131460,38
C49546,Toyota,Prius,1.0,Hybrid,2007,63118,12304,11
C32375,VW,Passat,1.6,Diesel,1993,241624,1274,7
C26159,BMW,Z4,2.0,Petrol,2006,65735,14176,33
C11712,Toyota,Prius,1.0,Hybrid,1999,226768,1950,46
C27239,BMW,X3,2.4,Diesel,2000,151738,6047,38
C18354,VW,Polo,1.0,Petrol,2003,97474,4224,23
C49515,Toyota,RAV4,2.2,Hybrid,2017,28033,51782,16
C21725,Ford,Mondeo,2.0,Diesel,2008,123366,10090,27
C25925,VW,Polo,1.2,Petrol,1986,258871,379,41
C41390,VW,Golf,1.6,Diesel,1990,95291,2843,44
C04773,Toyota,RAV4,2.2,Hybrid,2005,104776,14037,20
C35205,Toyota,Prius,1.0,Hybrid,2015,69165,20153,10
C27879,BMW,X3,2.0,Diesel,2005,108846,10790,22
C05875,VW,Polo,1.0,Petrol,2007,56551,7293,48
C17805,Ford,Mondeo,1.8,Diesel,1995,50929,6696,21
C34224,VW,Golf,1.8,Diesel,2001,118235,5293,33
C07842,VW,Polo,1.0,Petrol,2006,74979,6043,45
C15923,Toyota,Yaris,1.4,Petrol,2001,102489,4757,48
C28367,Ford,Fiesta,1.0,Petrol,2019,23448,19281,25
C12084,BMW,M5,5.0,Petrol,1999,91463,21240,31
C20034,Ford,Mondeo,1.6,Diesel,1996,215284,1871,45
C14488,BMW,Z4,2.2,Petrol,1991,255843,1151,39
C20819,Ford,Focus,1.6,Diesel,1984,193656,1027,34
C37518,VW,Golf,1.8,Petrol,2013,97099,13135,30
C44236,BMW,Z4,2.2,Petrol,2007,97510,12751,48
C48651,Toyota,RAV4,2.2,Hybrid,2007,125850,13666,16
C36236,Ford,Mondeo,1.6,Diesel,1987,125294,2192,45
C21070,VW,Golf,1.8,Petrol,2008,87849,10056,44
C09524,Porsche,Cayenne,2.6,Petrol,2010,62223,30919,29
C32756,VW,Polo,2.0,Petrol,1994,160270,2005,39
C12054,Toyota,Prius,1.8,Hybrid,1998,97323,7154,45
